id,recipe_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,serving_size,created_at,updated_at
1,"Sparkling water & citrus",beverages,5,0.0,1.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
2,"Unsweet iced tea",beverages,2,0.0,0.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
3,"Fruit spritz",beverages,35,0.0,9.0,0.0,1.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
4,"Fruit-herb water",beverages,10,0.0,2.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
5,"Iced herbal tea (caffeine-free)",beverages,2,0.0,0.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
6,"Water & unsweet electrolytes",beverages,10,0.0,2.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
7,"Plain low-fat milk",beverages,102,8.0,12.0,2.0,0.0,"8 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
8,"Fruit-milk smoothie",beverages,180,10.0,32.0,3.0,4.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
9,"Greek-yogurt smoothie",beverages,220,20.0,28.0,4.0,3.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
10,"Banana ice-cream shake",desserts,320,12.0,45.0,12.0,3.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
11,"Iced coffee & milk (no syrup)",beverages,60,4.0,6.0,2.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
12,"Chocolate milk (low-fat plain)",beverages,158,8.0,26.0,3.0,1.0,"8 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
13,"Frozen yogurt",desserts,140,4.0,22.0,4.0,0.0,"1/2 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
14,"Fruit sorbet",desserts,120,0.0,30.0,0.0,1.0,"1/2 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
15,"Banana ice-cream",desserts,200,3.0,32.0,8.0,2.0,"1/2 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
16,"Yogurt pops",desserts,80,4.0,14.0,2.0,1.0,"1 pop","2025-09-16 09:42:55","2025-09-16 09:42:55"
17,"Air-popped popcorn",snacks,93,3.0,19.0,1.0,4.0,"3 cups","2025-09-16 09:42:55","2025-09-16 09:42:55"
18,"Roasted chickpeas",snacks,180,8.0,24.0,6.0,8.0,"1/4 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
19,"Baked tortilla chips & salsa",snacks,140,3.0,24.0,4.0,3.0,"15 chips + 2 tbsp salsa","2025-09-16 09:42:55","2025-09-16 09:42:55"
20,"Baked pita chips",snacks,120,4.0,20.0,3.0,2.0,"1 oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
21,"Air-fryer fries",snacks,150,3.0,28.0,4.0,3.0,"1 medium potato","2025-09-16 09:42:55","2025-09-16 09:42:55"
22,"Baked sweet-potato wedges",snacks,130,2.0,30.0,0.0,4.0,"1 medium potato","2025-09-16 09:42:55","2025-09-16 09:42:55"
23,"Roasted potato cubes",snacks,140,3.0,30.0,2.0,3.0,"1 medium potato","2025-09-16 09:42:55","2025-09-16 09:42:55"
24,"Edamame pods",snacks,95,8.0,8.0,4.0,4.0,"1/2 cup shelled","2025-09-16 09:42:55","2025-09-16 09:42:55"
25,"Grilled chicken burger",main-meals,380,32.0,28.0,16.0,4.0,"1 burger","2025-09-16 09:42:55","2025-09-16 09:42:55"
26,"Turkey veggie burger",main-meals,320,28.0,25.0,12.0,5.0,"1 burger","2025-09-16 09:42:55","2025-09-16 09:42:55"
27,"Lettuce-wrap burger",main-meals,280,25.0,8.0,18.0,3.0,"1 burger","2025-09-16 09:42:55","2025-09-16 09:42:55"
28,"Single patty & side salad",main-meals,420,28.0,15.0,26.0,6.0,"1 patty + 2 cups salad","2025-09-16 09:42:55","2025-09-16 09:42:55"
29,"Thin-crust veggie",main-meals,250,12.0,30.0,10.0,4.0,"2 slices","2025-09-16 09:42:55","2025-09-16 09:42:55"
30,"Whole-wheat pita pizza",main-meals,280,15.0,35.0,10.0,5.0,"1 pita","2025-09-16 09:42:55","2025-09-16 09:42:55"
31,"Margherita (light cheese)",main-meals,220,10.0,28.0,8.0,3.0,"2 slices","2025-09-16 09:42:55","2025-09-16 09:42:55"
32,"Cauliflower-crust pizza",main-meals,180,12.0,15.0,9.0,4.0,"2 slices","2025-09-16 09:42:55","2025-09-16 09:42:55"
33,"Grilled chicken strips",main-meals,240,35.0,2.0,10.0,0.0,"4 oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
34,"Air-fried nuggets (home)",main-meals,280,22.0,18.0,14.0,1.0,"6 pieces","2025-09-16 09:42:55","2025-09-16 09:42:55"
35,"Tofu nuggets",main-meals,220,18.0,12.0,12.0,2.0,"6 pieces","2025-09-16 09:42:55","2025-09-16 09:42:55"
36,"Rotisserie chicken roll",main-meals,320,28.0,25.0,14.0,3.0,"1 roll","2025-09-16 09:42:55","2025-09-16 09:42:55"
37,"Ramen & veg & egg",main-meals,380,18.0,45.0,14.0,4.0,"1 bowl","2025-09-16 09:42:55","2025-09-16 09:42:55"
38,"Soba bowl & veggies",main-meals,320,12.0,58.0,6.0,6.0,"1 bowl","2025-09-16 09:42:55","2025-09-16 09:42:55"
39,"Udon & chicken or tofu with greens",main-meals,350,20.0,52.0,8.0,5.0,"1 bowl","2025-09-16 09:42:55","2025-09-16 09:42:55"
40,"DIY broth noodles & veggies",main-meals,280,8.0,48.0,6.0,4.0,"1 bowl","2025-09-16 09:42:55","2025-09-16 09:42:55"
41,"Overnight oats (PB with fruits)",breakfast,320,12.0,45.0,12.0,8.0,"1/2 cup dry oats","2025-09-16 09:42:55","2025-09-16 09:42:55"
42,"High-fiber cereal (low sugar)",breakfast,180,6.0,42.0,2.0,12.0,"1 cup + milk","2025-09-16 09:42:55","2025-09-16 09:42:55"
43,"Yogurt parfait + granola",breakfast,280,15.0,38.0,8.0,4.0,"1 cup yogurt + 1/4 cup granola","2025-09-16 09:42:55","2025-09-16 09:42:55"
44,"Whole-grain toast with PB & banana",breakfast,320,12.0,42.0,14.0,8.0,"2 slices","2025-09-16 09:42:55","2025-09-16 09:42:55"
45,"Plain Greek yogurt with berries",breakfast,180,20.0,20.0,4.0,4.0,"1 cup yogurt + 1/2 cup berries","2025-09-16 09:42:55","2025-09-16 09:42:55"
46,"Skyr & fruit",breakfast,150,18.0,18.0,0.0,3.0,"5.3 oz + fruit","2025-09-16 09:42:55","2025-09-16 09:42:55"
47,"Kefir smoothie",breakfast,200,12.0,25.0,6.0,3.0,"8 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
48,"Cottage cheese + fruit",breakfast,160,14.0,18.0,4.0,2.0,"1/2 cup + fruit","2025-09-16 09:42:55","2025-09-16 09:42:55"
49,"Oatmeal cookie (less sugar)",desserts,120,2.0,18.0,5.0,1.0,"1 medium cookie","2025-09-16 09:42:55","2025-09-16 09:42:55"
50,"Energy balls (oats with dates)",desserts,140,4.0,20.0,6.0,3.0,"2 balls","2025-09-16 09:42:55","2025-09-16 09:42:55"
51,"Rice cake with dark choc",desserts,90,2.0,18.0,2.0,1.0,"1 cake + 1 square chocolate","2025-09-16 09:42:55","2025-09-16 09:42:55"
52,"Peanut Butter cookies",desserts,160,4.0,18.0,8.0,2.0,"1 medium cookie","2025-09-16 09:42:55","2025-09-16 09:42:55"
53,"Frozen grapes",desserts,60,1.0,16.0,0.0,1.0,"1 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
54,"Date with PB stuffed",desserts,120,3.0,18.0,5.0,2.0,"2 dates","2025-09-16 09:42:55","2025-09-16 09:42:55"
55,"Fruit leather (no added sugar)",desserts,50,0.0,12.0,0.0,1.0,"1 strip","2025-09-16 09:42:55","2025-09-16 09:42:55"
56,"Dark chocolate square (70%)",desserts,70,1.0,6.0,5.0,1.0,"1 square","2025-09-16 09:42:55","2025-09-16 09:42:55"
57,"Baked chips with beans, salsa & yogurt",snacks,220,8.0,32.0,6.0,8.0,"15 chips + toppings","2025-09-16 09:42:55","2025-09-16 09:42:55"
58,"Veg-loaded sheet-pan nachos",snacks,280,12.0,28.0,14.0,6.0,"1 serving","2025-09-16 09:42:55","2025-09-16 09:42:55"
59,"Whole-wheat quesadilla (veg, light cheese)",snacks,240,12.0,28.0,10.0,4.0,"1/2 quesadilla","2025-09-16 09:42:55","2025-09-16 09:42:55"
60,"Corn-bean salad with a side of chips",snacks,200,6.0,32.0,6.0,6.0,"3/4 cup salad + chips","2025-09-16 09:42:55","2025-09-16 09:42:55"
